Pais,Juegos_verano,V_Oro,V_Plata,V_Bronce,V_Total,Juegos_invierno,I_Oro,I_Plata,I_Bronce,I_Total,Juegos,Oro,Plata,Bronce,Total
Alemania (GER),17,239,267,291,797,12,112,104,70,286,29,351,371,361,1083
Australia (AUS),27,162,170,209,541,21,6,7,6,19,48,168,177,205,560
Austria (AUT),28,22,37,43,102,24,71,88,91,250,52,93,125,134,352
Bélgica (BEL),27,46,57,63,166,21,2,2,4,8,48,48,59,67,174
Bielorrusia (BLR),7,13,30,42,85,7,8,7,5,20,14,21,37,47,105
Bulgaria (BUL),21,54,88,82,224,20,1,2,3,6,41,55,90,85,230
Canadá (CAN),27,70,110,146,326,23,77,72,76,225,50,147,182,222,551
China (CHN),11,262,199,173,634,11,22,32,23,77,22,284,231,196,711
Corea del Norte (PRK),10,16,16,23,55,8,0,1,1,2,18,16,17,24,58
Corea del Sur (KOR),18,96,91,100,287,18,33,30,16,79,36,129,121,116,366
Croacia (CRO),8,14,13,14,41,8,4,6,1,11,16,18,19,15,53
Dinamarca (DEN),28,48,83,83,214,14,0,1,0,1,42,48,84,83,215
Eslovaquia (SVK),7,10,14,8,32,7,4,4,2,10,14,14,18,10,42
Eslovenia (SLO),8,8,9,11,28,8,4,8,12,24,16,12,17,23,52
España (ESP),24,48,72,49,169,21,1,1,3,5,45,49,73,52,174
Estados Unidos (USA),28,1069,842,744,2655,24,113,122,95,330,52,1182,964,839,2985
Estonia (EST),13,10,9,17,36,10,4,2,2,8,23,14,11,19,44
Finlandia (FIN),26,104,86,120,310,23,45,65,65,175,49,149,151,185,485
Francia (FRA),29,231,256,285,772,24,41,42,55,138,53,272,298,340,910
Hungría (HUN),27,182,156,177,515,23,2,2,6,10,50,184,158,183,525
Italia (ITA),28,222,195,215,632,24,42,43,56,141,52,264,238,271,773
Japón (JPN),23,169,150,180,499,21,17,28,31,76,44,186,178,211,575
Kazajistán (KAZ),7,14,21,36,71,7,1,3,4,8,14,15,24,40,79
Letonia (LAT),12,4,11,6,21,11,1,3,6,10,23,5,14,12,31
Luxemburgo (LUX),24,3,2,0,5,9,0,2,0,2,33,3,4,0,7
Noruega (NOR),26,59,53,50,162,24,148,134,123,405,50,207,187,173,567
Nueva Zelanda (NZL),24,53,33,51,137,16,2,2,2,6,40,55,35,53,143
Países Bajos (NED),27,98,106,125,329,21,53,49,45,147,48,151,155,170,476
Polonia (POL),23,75,91,140,306,23,7,7,9,23,46,82,98,149,329
Reino Unido (GBR),29,292,324,315,931,24,12,5,17,34,53,304,329,332,965
República Checa (CZE),7,19,21,27,67,7,10,11,13,34,14,29,32,40,101
Rumania (ROU),22,90,97,121,308,21,0,0,1,1,43,90,97,122,309
Rusia (RUS),9,148,130,153,431,6,46,39,35,120,15,194,169,188,551
Suecia (SWE),28,149,177,181,507,24,65,51,60,176,52,214,228,241,683
Suiza (SUI),29,56,84,73,213,24,63,47,58,168,53,119,131,131,381
Ucrania (UKR),7,35,36,68,139,7,3,2,4,9,14,38,38,72,148
Uzbekistán (UZB),7,10,6,20,36,7,1,0,0,1,14,11,6,20,37